date,Time,250-212 µm CaCO3Powder mass (g),212-150 µm CaCO3Powder mass (g),150-125 µm CaCO3Powder mass (g),125-63 µm CaCO3Powder mass (g),63-<63 µm CaCO3Powder mass (g),<-710 µmPellet _mass_(g) ,710-600 µmPellet _mass_(g) ,600-500 µmPellet _mass_(g) ,500-425 µmPellet _mass_(g) ,425-355 µmPellet _mass_(g) ,355-300 µmPellet _mass_(g) ,300-250 µmPellet _mass_(g) ,250-212 µmPellet _mass_(g) ,212-150 µmPellet _mass_(g) ,150-63 µmPellet _mass_(g) ,63-> µmPellet _mass_(g) ,425-355 µmHBr_CaC03_mass_(g) ,355-300 µmHBr_CaC03_mass_(g) ,300-250 µmHBr_CaC03_mass_(g) ,250-212 µmHBr_CaC03_mass_(g) ,212-150 µmHBr_CaC03_mass_(g) ,150-63 µmHBr_CaC03_mass_(g) ,63-> µmHBr_CaC03_mass_(g) ,Calciner temp [°C],Calciner Heater kW,Calciner Pressure ( Pa ),Calciner  velocity (m/s),Calciner CO2 in(%vol),Calciner O2 in(%vol),Calciner N2 in(%vol),Calciner top temp ( °C ),Calciner CO2 out(%),Calciner O2 out(%),Calciner H2O out(%),Calciner CO out(ppm),Calciner CH4 out(ppm),Run status,Carbonator bottom temp ( C),Carbonator mid temp ( C),Carbonator press (pa),Carbonator velocity (m/s),Carbonator inlet CO2 (%vol),Carbonator inlet N2 (%vol),Carbonator outlet CO2 (%vol),Carbonator top temp ( C)
10.01.17,12:45:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,705.15,7.8,3855.5,0.32,0,40,60,546.55,1.30512575,11.797853,0,2175.7765,3561.5724,C,481.315,570.12,3777.5,2.5,0,100,-0.3094,562.275
10.01.17,12:46:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,699.41,7.8,3864.5,0.32,0,40,60,541.78,1.1101061,14.267238,0,966.82101,2783.0653,C,481.975,570.595,3762,2.5,0,100,-0.3094,562.7
10.01.17,12:47:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,694.61,0,3885,0,0,0,0,540.005,0.98944817,14.629652,0.96297734,294.10688,1526.9448,C,481.665,571.84,3729,2.5,0,100,-0.2618,562.745
10.01.17,12:48:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,690.4,0,3889,0,0,0,0,535.655,0.8228892,14.719942,0.65384361,59.5865895,255.809875,C,479.705,572.955,3705.5,2.5,0,100,-0.238,561.84
10.01.17,12:49:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,687.49,0,3868,0,0,0,0,534.725,0.73145477,14.662532,0.21535345,10.621038,40.881635,C,482.49,571.475,3753.5,2.5,0,100,-0.2023,563.025
10.01.17,12:50:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,685.84,0,3915.5,0,0,0,0,533.735,0.6811613,14.597247,0.11235185,4.3472604,13.506299,C,485.505,574.065,3658,2.5,0,100,-0.2142,563.76
10.01.17,12:51:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,685.74,0,3915,0,0,0,0,533.485,0.66263344,6.66694695,0.015640974,2.01102035,4.66407145,C,486.945,573.725,3676.5,2.5,0,100,-0.0595,563.44
10.01.17,12:52:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,685.97,0,3889.5,0,0,0,0,531.27,0.68964597,1.6259313,0,1.464474,3.6933996,C,491.245,573.915,3722.5,2.5,0,100,0.1309,565.065
10.01.17,12:53:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,685.3,0,3895.5,0,0,0,0,530.21,0.698155235,0.53017053,0.015764117,1.08582019,3.9981406,C,493.27,575.04,3730.5,2.5,0,100,0.2023,565.465
10.01.17,12:54:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,684.74,0,4017.5,0,0,0,0,530.455,0.68114115,0.28793128,0.018732648,0.78790155,3.8871547,C,495.83,575.89,3457.5,2.5,0,100,0.1785,566.85
10.01.17,12:55:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,684.6,0,3274,0,0,0,0,502.55,0.68005607,0.21354987,0,0.68324449,3.7418505,C,498.655,579.42,1631,2.5,0,100,0.1904,557.47
10.01.17,12:56:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,685.78,0,3129.5,0,0,0,0,486.225,0.779110565,0.43776855,0.038243293,1.04863395,5.2532673,C,491.23,579.955,1631.5,2.5,0,100,0.2975,554.925
10.01.17,12:57:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.6168411,3548.696222,2423.000091,103.7330906,21.77114247,19.20983159,22.41147019,687.31,0,3123,0,0,0,0,485.695,0.89601812,0.40057632,0.10478443,1.2858138,5.8530555,C,487.98,581.465,1626.5,2.5,0,100,0.3094,555.865
